country,continent,capital
Nepal,Asia,Kathmandu
French Southern and Antarctic Lands,Antarctic,Port-aux-Français
Taiwan,Asia,Taipei
Benin,Africa,Porto-Novo
Bulgaria,Europe,Sofia
Moldova,Europe,Chișinău
Isle of Man,Europe,Douglas
Bhutan,Asia,Thimphu
Cambodia,Asia,Phnom Penh
Antigua and Barbuda,Americas,Saint John's
Haiti,Americas,Port-au-Prince
Cape Verde,Africa,Praia
Georgia,Asia,Tbilisi
Burundi,Africa,Gitega
Bahamas,Americas,Nassau
Mauritius,Africa,Port Louis
Libya,Africa,Tripoli
Malawi,Africa,Lilongwe
Mexico,Americas,Mexico City
Eswatini,Africa,Mbabane
Papua New Guinea,Oceania,Port Moresby
Dominica,Americas,Roseau
Liechtenstein,Europe,Vaduz
Russia,Europe,Moscow
Israel,Asia,Jerusalem
Singapore,Asia,Singapore
Uganda,Africa,Kampala
Slovakia,Europe,Bratislava
Tonga,Oceania,Nuku'alofa
United Arab Emirates,Asia,Abu Dhabi
Mayotte,Africa,Mamoudzou
Suriname,Americas,Paramaribo
Uzbekistan,Asia,Tashkent
Saudi Arabia,Asia,Riyadh
Egypt,Africa,Cairo
Italy,Europe,Rome
Madagascar,Africa,Antananarivo
New Caledonia,Oceania,Nouméa
Canada,Americas,Ottawa
United States Virgin Islands,Americas,Charlotte Amalie
Marshall Islands,Oceania,Majuro
Mauritania,Africa,Nouakchott
Gambia,Africa,Banjul
Trinidad and Tobago,Americas,Port of Spain
Seychelles,Africa,Victoria
Japan,Asia,Tokyo
Brazil,Americas,Brasília
Syria,Asia,Damascus
"Saint Helena, Ascension and Tristan da Cunha",Africa,Jamestown
Tanzania,Africa,Dodoma
Andorra,Europe,Andorra la Vella
Iran,Asia,Tehran
Togo,Africa,Lomé
Malta,Europe,Valletta
South Korea,Asia,Seoul
Samoa,Oceania,Apia
Germany,Europe,Berlin
Niger,Africa,Niamey
Bouvet Island,Antarctic,o capita
Jamaica,Americas,Kingston
Nicaragua,Americas,Managua
Guinea,Africa,Conakry
Anguilla,Americas,The Valley
Åland Islands,Europe,Mariehamn
Belgium,Europe,Brussels
Portugal,Europe,Lisbon
Denmark,Europe,Copenhagen
Philippines,Asia,Manila
Wallis and Futuna,Oceania,Mata-Utu
Austria,Europe,Vienna
Guinea-Bissau,Africa,Bissau
Monaco,Europe,Monaco
Namibia,Africa,Windhoek
United States Minor Outlying Islands,Americas,Washington DC
Costa Rica,Americas,San José
Bosnia and Herzegovina,Europe,Sarajevo
Macau,Asia,o capita
Mozambique,Africa,Maputo
Réunion,Africa,Saint-Denis
Montenegro,Europe,Podgorica
North Korea,Asia,Pyongyang
Northern Mariana Islands,Oceania,Saipan
Ukraine,Europe,Kyiv
Iraq,Asia,Baghdad
South Georgia,Antarctic,King Edward Point
Angola,Africa,Luanda
Sierra Leone,Africa,Freetown
Micronesia,Oceania,Palikir
Cuba,Americas,Havana
Turks and Caicos Islands,Americas,Cockburn Town
Serbia,Europe,Belgrade
Ecuador,Americas,Quito
Faroe Islands,Europe,Tórshavn
Antarctica,Antarctic,o capita
Palestine,Asia,"Ramallah', 'Jerusalem"
Turkey,Asia,Ankara
Kiribati,Oceania,South Tarawa
Kazakhstan,Asia,Nur-Sultan
Gibraltar,Europe,Gibraltar
Iceland,Europe,Reykjavik
Palau,Oceania,Ngerulmud
Qatar,Asia,Doha
Switzerland,Europe,Bern
French Polynesia,Oceania,Papeetē
Pitcairn Islands,Oceania,Adamstown
Jordan,Asia,Amman
Myanmar,Asia,Naypyidaw
Thailand,Asia,Bangkok
Caribbean Netherlands,Americas,Kralendijk
Aruba,Americas,Oranjestad
Guadeloupe,Americas,Basse-Terre
Nigeria,Africa,Abuja
Bahrain,Asia,Manama
Laos,Asia,Vientiane
Cocos (Keeling) Islands,Oceania,West Island
Djibouti,Africa,Djibouti
Solomon Islands,Oceania,Honiara
Heard Island and McDonald Islands,Antarctic,o capita
India,Asia,New Delhi
San Marino,Europe,City of San Marino
Luxembourg,Europe,Luxembourg
Sint Maarten,Americas,Philipsburg
Falkland Islands,Americas,Stanley
Central African Republic,Africa,Bangui
Botswana,Africa,Gaborone
Curaçao,Americas,Willemstad
Guernsey,Europe,St. Peter Port
Norway,Europe,Oslo
Gabon,Africa,Libreville
Zimbabwe,Africa,Harare
Lesotho,Africa,Maseru
Slovenia,Europe,Ljubljana
Argentina,Americas,Buenos Aires
Burkina Faso,Africa,Ouagadougou
Yemen,Asia,Sana'a
DR Congo,Africa,Kinshasa
Oman,Asia,Muscat
Indonesia,Asia,Jakarta
Nauru,Oceania,Yaren
Rwanda,Africa,Kigali
North Macedonia,Europe,Skopje
Kosovo,Europe,Pristina
Netherlands,Europe,Amsterdam
Tunisia,Africa,Tunis
South Sudan,Africa,Juba
Honduras,Americas,Tegucigalpa
Saint Vincent and the Grenadines,Americas,Kingstown
Sri Lanka,Asia,Sri Jayawardenepura Kotte
Hong Kong,Asia,City of Victoria
